,Date,Open,High,Low,Close, Volume , Adj Close ,Returns,1:1,Running Total,1:2,Running Total,1:4,Running Total,1:8,Running Total,1:16,Running Total,1:32,Running Total
,15/11/2012," 1.355,41 "," 1.360,62 "," 1.348,05 "," 1.353,33 ", 3.928.870.000 ," 1.353,33 ","-0,2%","-0,2%","-0,2%","-0,2%","-0,2%","-0,2%","-0,2%","-0,2%","-0,2%","-0,2%","-0,2%","-0,2%","-0,2%"
,14/11/2012," 1.374,64 "," 1.380,13 "," 1.352,50 "," 1.355,49 ", 4.109.510.000 ," 1.355,49 ","-1,4%","-1,4%","-1,6%","-1,4%","-1,6%","-1,4%","-1,6%","-1,4%","-1,6%","-1,4%","-1,7%","-1,4%","-1,6%"
,13/11/2012," 1.380,03 "," 1.388,81 "," 1.371,39 "," 1.374,53 ", 3.455.550.000 ," 1.374,53 ","-0,4%","-0,4%","-2,0%","-0,4%","-2,1%","-0,4%","-2,0%","-0,4%","-2,0%","-0,4%","-2,1%","-0,4%","-2,0%"
,12/11/2012," 1.379,86 "," 1.384,87 "," 1.377,19 "," 1.380,00 ", 2.567.540.000 ," 1.380,00 ","0,0%","0,0%","-2,1%","0,0%","-2,1%","0,0%","-2,0%","0,0%","-2,0%","0,0%","-2,1%","0,0%","-2,1%"
,9/11/2012," 1.377,55 "," 1.391,39 "," 1.373,03 "," 1.379,85 ", 3.647.350.000 ," 1.379,85 ","0,2%","0,1%","-1,9%","0,1%","-1,9%","0,1%","-1,9%","0,2%","-1,8%","0,1%","-2,0%","0,1%","-1,9%"
,8/11/2012," 1.394,53 "," 1.401,23 "," 1.377,51 "," 1.377,51 ", 3.779.520.000 ," 1.377,51 ","-1,2%","-1,3%","-3,2%","-1,3%","-3,2%","-1,2%","-3,1%","-1,2%","-3,1%","-1,3%","-3,3%","-1,3%","-3,2%"
,7/11/2012," 1.428,27 "," 1.428,27 "," 1.388,14 "," 1.394,53 ", 4.356.490.000 ," 1.394,53 ","-2,4%","-2,4%","-5,6%","-2,4%","-5,6%","-2,4%","-5,5%","-2,4%","-5,5%","-2,4%","-5,7%","-2,4%","-5,6%"
,6/11/2012," 1.417,26 "," 1.433,38 "," 1.417,26 "," 1.428,39 ", 3.306.970.000 ," 1.428,39 ","0,8%","0,8%","-4,8%","0,7%","-4,9%","0,8%","-4,7%","0,8%","-4,7%","0,7%","-5,0%","0,8%","-4,8%"
,5/11/2012," 1.414,02 "," 1.419,90 "," 1.408,13 "," 1.417,26 ", 2.921.040.000 ," 1.417,26 ","0,2%","0,2%","-4,6%","0,2%","-4,7%","0,2%","-4,6%","0,2%","-4,5%","0,2%","-4,8%","0,2%","-4,7%"
,2/11/2012," 1.427,59 "," 1.434,27 "," 1.412,91 "," 1.414,20 ", 3.732.480.000 ," 1.414,20 ","-0,9%","-1,0%","-5,6%","-1,0%","-5,7%","-1,0%","-5,5%","-1,0%","-5,5%","-1,0%","-5,8%","-1,0%","-5,6%"
,1/11/2012," 1.412,20 "," 1.428,35 "," 1.412,20 "," 1.427,59 ", 3.929.890.000 ," 1.427,59 ","1,1%","1,1%","-4,6%","1,1%","-4,6%","1,1%","-4,4%","1,1%","-4,4%","1,0%","-4,8%","1,1%","-4,6%"
,31/10/2012," 1.410,99 "," 1.418,76 "," 1.405,95 "," 1.412,16 ", 3.577.110.000 ," 1.412,16 ","0,0%","0,0%","-4,6%","0,0%","-4,6%","0,0%","-4,4%","0,0%","-4,4%","0,0%","-4,8%","0,0%","-4,6%"
,26/10/2012," 1.412,97 "," 1.417,09 "," 1.403,28 "," 1.411,94 ", 3.284.910.000 ," 1.411,94 ","-0,1%","-0,1%","-4,7%","-0,1%","-4,7%","-0,1%","-4,5%","-0,1%","-4,5%","-0,1%","-4,9%","-0,1%","-4,7%"
,25/10/2012," 1.409,74 "," 1.421,12 "," 1.405,14 "," 1.412,97 ", 3.512.640.000 ," 1.412,97 ","0,3%","0,3%","-4,4%","0,3%","-4,5%","0,3%","-4,3%","0,3%","-4,2%","0,2%","-4,7%","0,3%","-4,4%"
